w,iterate,binID
0.0016550095148020602,33,"[2,1]"
0.0014278123402970335,34,"[2,1]"
0.0033482155144328443,35,"[2,1]"
0.0006659347401873363,36,"[2,1]"
9.029244785596848e-9,37,"[2,1]"
1.945863027657059e-8,38,"[2,1]"
9.219991820489135e-5,39,"[2,1]"
0.0001400374417249147,40,"[2,1]"
4.1421399595238594e-13,41,"[2,1]"
0.0026822852251946285,42,"[2,1]"
0.010243115686819319,43,"[2,1]"
0.006085472223468559,44,"[2,1]"
0.0035373677573401624,45,"[2,1]"
0.0012610818886928182,46,"[2,1]"
4.801609150992031e-10,47,"[2,1]"
6.086036480458707e-17,48,"[2,1]"
1.7736739556992562e-12,49,"[2,1]"
1.9130824869873976e-5,50,"[2,1]"
3.0012938031896317e-6,51,"[2,1]"
2.0389673460842233e-19,52,"[2,1]"
5.10784551689929e-16,53,"[2,1]"
2.695868660281804e-7,54,"[2,1]"
3.998159194056822e-13,55,"[2,1]"
2.0244563873006145e-10,56,"[2,1]"
9.700198901292655e-7,57,"[2,1]"
7.304231191070902e-12,58,"[2,1]"
3.9035370511961586e-23,59,"[2,1]"
6.15934941637754e-7,60,"[2,1]"
0.0008698805339329307,61,"[2,1]"
0.0005535004700570201,62,"[2,1]"
0.0022847009607982163,63,"[2,1]"
0.0037377991108677616,64,"[2,1]"
0.01046746812410508,65,"[2,1]"
0.00814673127959936,66,"[2,1]"
0.0005747633356740897,67,"[2,1]"
1.0224087013998462e-5,68,"[2,1]"
1.4057032100128945e-6,69,"[2,1]"
1.0681347247687634e-7,70,"[2,1]"
6.821482900470175e-7,71,"[2,1]"
0.000126641319604332,72,"[2,1]"
8.26844752704054e-5,73,"[2,1]"
1.1949275712707897e-7,74,"[2,1]"
5.3565067987937933e-17,75,"[2,1]"
4.071818756271318e-12,76,"[2,1]"
0.00010527005827875696,77,"[2,1]"
2.2310278814639798e-9,78,"[2,1]"
5.255208017275068e-12,79,"[2,1]"
1.2362296639022623e-19,80,"[2,1]"
0.0027018298550955575,81,"[2,1]"
0.0011723308062192976,82,"[2,1]"
0.0005636639729608623,83,"[2,1]"
0.005292576686138833,84,"[2,1]"
5.311229641191298e-5,85,"[2,1]"
0.0003098640031483725,86,"[2,1]"
1.7205409074381297e-8,87,"[2,1]"
3.2860282761542344e-8,88,"[2,1]"
2.631520908761489e-14,89,"[2,1]"
9.898201551549714e-7,90,"[2,1]"
6.008392018249062e-11,91,"[2,1]"
3.6552041365255356e-9,92,"[2,1]"
1.4151205983855875e-5,93,"[2,1]"
9.717821269584535e-28,94,"[2,1]"
9.545672138514978e-5,95,"[2,1]"
3.390964033047523e-8,96,"[2,1]"
6.432188387244261e-8,97,"[2,1]"
0.0001579953954197915,98,"[2,1]"
9.616650569238098e-7,99,"[2,1]"
3.834855787013755e-6,100,"[2,1]"
0.0038015540331047437,1,"[3,1]"
0.0008609292170519852,2,"[3,1]"
0.000834165987253446,3,"[3,1]"
0.0041213678372321386,4,"[3,1]"
0.0004836237269328728,5,"[3,1]"
3.688844124519921e-5,6,"[3,1]"
1.3777826991141862e-8,7,"[3,1]"
0.002381348414009734,8,"[3,1]"
0.002037397282189957,9,"[3,1]"
0.0009791328573156431,10,"[3,1]"
0.0004589254008955763,11,"[3,1]"
5.444286206815149e-5,12,"[3,1]"
8.490234850808325e-5,13,"[3,1]"
0.0006743918247634629,14,"[3,1]"
9.515660076243496e-6,15,"[3,1]"
0.0004416790837673246,16,"[3,1]"
0.0001940054743434418,17,"[3,1]"
5.976534156238939e-6,18,"[3,1]"
2.6840797242140916e-5,19,"[3,1]"
1.9604784089817934e-10,20,"[3,1]"
3.079551742755617e-15,21,"[3,1]"
2.767920535916228e-5,22,"[3,1]"
2.097089912362913e-10,23,"[3,1]"
8.151369099499941e-15,24,"[3,1]"
2.7890463553099086e-5,25,"[3,1]"
7.596647228446084e-7,26,"[3,1]"
3.3087542591506115e-6,27,"[3,1]"
2.3057357759024072e-5,28,"[3,1]"
0.00029028264752536937,29,"[3,1]"
0.0036705717621218436,30,"[3,1]"
0.0009799991221147101,31,"[3,1]"
0.0007818505085714412,32,"[3,1]"
0.0001417743520054961,33,"[3,1]"
2.0498214001756283e-14,34,"[3,1]"
2.1755477954784864e-6,35,"[3,1]"
0.00023426816650748232,36,"[3,1]"
6.561336708013784e-8,37,"[3,1]"
0.0018744471770441795,38,"[3,1]"
0.005017585022103245,39,"[3,1]"
0.003877759832316529,40,"[3,1]"
0.0039498971216516965,41,"[3,1]"
0.006776999115568892,42,"[3,1]"
0.009154428056474106,43,"[3,1]"
0.0033853898634595607,44,"[3,1]"
0.0060344226572658964,45,"[3,1]"
0.01351355327727143,46,"[3,1]"
0.01450984826181093,47,"[3,1]"
0.007195112409568242,48,"[3,1]"
0.01175095491250145,49,"[3,1]"
0.011115234763564793,50,"[3,1]"
0.0047876612342830005,51,"[3,1]"
0.004996195347817303,52,"[3,1]"
0.002531641080049475,53,"[3,1]"
0.006750567346865196,54,"[3,1]"
0.014999254272511831,55,"[3,1]"
0.004740081914217148,56,"[3,1]"
0.0036025786914369584,57,"[3,1]"
0.0021605375650399937,58,"[3,1]"
0.002506340651883913,59,"[3,1]"
0.0015487015249042858,60,"[3,1]"
0.009424053834729999,61,"[3,1]"
0.009500784982343132,62,"[3,1]"
0.010091028636627768,63,"[3,1]"
0.004994670471435717,64,"[3,1]"
0.007957831990252023,65,"[3,1]"
0.0037750323388376257,66,"[3,1]"
0.0011893547816778274,67,"[3,1]"
0.0009140072633772201,68,"[3,1]"
5.2604192733386255e-11,69,"[3,1]"
1.4328500760906007e-5,70,"[3,1]"
